15:21:50,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'EB8D,'E5E6,'DBCC,'D45E,'CB41,'8600,'4B75,'2032,'BE5A,'0733,'BF92,'8E13,'53E3,'8001,'001D,'1D29,'00C1,'3504,'0014,'0000,'1C4C,'8011,'A008,'E5E6,'5003,'E140
15:21:50,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:21:51,90614BC-0x5A,23.57,26.19,25.69,,6708,103,7
15:21:52,90614BC-0x5A,23.57,26.25,25.79,,6708,106,8
15:21:53,90614BC-0x5A,23.61,26.29,24.73,,6709,103,3
15:21:54,90614BC-0x5A,23.55,26.11,25.87,,6707,101,8
15:21:55,90614BC-0x5A,23.61,26.29,25.03,,6709,105,4
15:21:56,90614BC-0x5A,23.61,26.21,24.97,,6710,103,4
15:21:57,90614BC-0x5A,23.61,26.29,25.09,,6709,104,5
15:21:58,90614BC-0x5A,23.61,26.23,25.83,,6709,103,8
15:21:59,90614BC-0x5A,23.63,26.29,25.51,,6710,107,6
15:22:00,90614BC-0x5A,23.57,26.19,25.51,,6708,103,7
15:22:01,90614BC-0x5A,23.59,26.21,25.85,,6709,104,8
15:22:02,90614BC-0x5A,23.61,26.25,25.79,,6709,104,8
15:22:03,90614BC-0x5A,23.61,26.27,25.87,,6709,106,8
15:22:04,90614BC-0x5A,23.65,26.23,25.05,,6710,102,4
15:22:05,90614BC-0x5A,23.57,26.31,24.99,,6708,105,5
15:22:06,90614BC-0x5A,23.61,26.21,25.81,,6709,103,8
15:22:07,90614BC-0x5A,23.61,26.31,25.37,,6709,106,6
15:22:08,90614BC-0x5A,23.57,26.25,25.53,,6708,105,7
15:22:09,90614BC-0x5A,23.57,26.21,25.87,,6708,104,8
15:22:10,90614BC-0x5A,23.55,26.27,25.91,,6707,106,8
15:22:11,90614BC-0x5A,23.63,26.29,25.85,,6710,105,8
15:22:12,90614BC-0x5A,23.57,26.27,25.37,,6708,107,6
15:22:13,90614BC-0x5A,23.63,26.23,25.67,,6710,103,7
15:22:14,90614BC-0x5A,23.57,26.27,25.55,,6708,106,6
15:22:15,90614BC-0x5A,23.57,26.21,25.89,,6708,104,8
15:22:16,90614BC-0x5A,23.61,26.29,25.55,,6709,106,6
15:22:17,90614BC-0x5A,23.61,26.29,25.15,,6709,104,5
15:22:18,90614BC-0x5A,23.57,26.27,24.93,,6708,103,4
15:22:19,90614BC-0x5A,23.57,26.19,25.35,,6708,103,6
15:22:20,90614BC-0x5A,23.61,26.29,25.23,,6709,104,5
15:22:21,90614BC-0x5A,23.61,26.31,25.01,,6709,104,5
15:22:22,90614BC-0x5A,23.59,26.19,25.19,,6708,102,5
15:22:23,90614BC-0x5A,23.61,26.23,25.87,,6710,104,8
15:22:24,90614BC-0x5A,23.61,26.27,25.55,,6709,105,7
15:22:25,90614BC-0x5A,23.63,26.31,25.85,,6709,105,8
15:22:26,90614BC-0x5A,23.63,26.23,25.17,,6710,103,5
15:22:27,90614BC-0x5A,23.61,26.21,25.85,,6709,103,8
15:22:28,90614BC-0x5A,23.61,26.21,25.79,,6708,104,8
15:22:29,90614BC-0x5A,23.61,26.31,25.27,,6709,106,5
15:22:30,90614BC-0x5A,23.61,26.27,25.19,,6709,104,5
15:22:31,90614BC-0x5A,23.57,26.25,25.77,,6708,106,8
15:22:32,90614BC-0x5A,23.61,26.23,25.49,,6709,104,7
15:22:33,90614BC-0x5A,23.57,26.27,25.15,,6708,105,5
15:22:34,90614BC-0x5A,23.57,26.17,25.95,,6708,103,8
15:22:35,90614BC-0x5A,23.63,26.27,25.49,,6710,104,7
15:22:36,90614BC-0x5A,23.61,26.31,25.87,,6709,106,6
15:22:37,90614BC-0x5A,23.61,26.19,25.93,,6709,102,8
15:22:38,90614BC-0x5A,23.57,26.23,25.65,,6708,105,7
15:22:39,90614BC-0x5A,23.57,26.25,25.11,,6708,105,7
15:22:40,90614BC-0x5A,23.59,26.31,25.09,,6709,106,5
15:22:41,90614BC-0x5A,23.61,26.31,25.61,,6709,105,7
15:22:42,90614BC-0x5A,23.61,26.31,25.43,,6709,105,6
15:22:43,90614BC-0x5A,23.59,26.29,25.71,,6709,106,7
15:22:44,90614BC-0x5A,23.61,26.39,25.09,,6709,108,5
15:22:45,90614BC-0x5A,23.61,26.27,26.05,,6709,106,9
15:22:46,90614BC-0x5A,23.57,26.19,25.85,,6708,104,8
15:22:47,90614BC-0x5A,23.61,26.27,24.71,,6709,103,4
15:22:48,90614BC-0x5A,23.57,26.31,25.33,,6709,106,6
15:22:49,90614BC-0x5A,23.61,26.29,25.79,,6709,106,8
15:22:50,90614BC-0x5A,23.57,26.31,25.71,,6708,107,7
15:22:51,90614BC-0x5A,23.61,26.31,25.77,,6709,107,7
15:22:52,90614BC-0x5A,23.61,26.33,25.35,,6709,106,6
15:22:53,90614BC-0x5A,23.55,26.27,25.75,,6708,105,8
15:22:54,90614BC-0x5A,23.57,26.31,25.07,,6708,106,5
15:22:55,90614BC-0x5A,23.61,26.27,25.81,,6709,104,8
15:22:56,90614BC-0x5A,23.59,26.27,25.91,,6709,106,8
15:22:57,90614BC-0x5A,23.61,26.25,25.83,,6709,104,8
15:22:58,90614BC-0x5A,23.61,26.29,25.87,,6709,106,8
