15:52:21,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'B57C,'B57C,'B8C0,'C258,'EF2A,'0000,'5C32,'209F,'BE5A,'0733,'A081,'7DD3,'53E3,'8039,'803D,'1D13,'00C1,'3508,'0015,'0000,'1C47,'8011,'3413,'F38F,'8387,'E144
15:52:21,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:52:21,90614BC-0x5A,25.23,40.17,110.05,,6748,294,112
15:52:22,90614BC-0x5A,25.29,40.13,97.57,,6749,274,89
15:52:23,90614BC-0x5A,25.33,40.29,88.35,,6751,258,76
15:52:24,90614BC-0x5A,25.33,40.37,78.67,,6750,248,62
15:52:25,90614BC-0x5A,25.37,40.67,70.19,,6751,243,50
15:52:26,90614BC-0x5A,25.37,40.73,63.03,,6751,234,41
15:52:27,90614BC-0x5A,25.39,40.97,56.57,,6751,232,32
15:52:28,90614BC-0x5A,25.39,40.85,54.41,,6752,226,30
15:52:29,90614BC-0x5A,25.43,40.83,50.13,,6752,222,24
15:52:30,90614BC-0x5A,25.43,40.79,47.45,,6753,218,21
15:52:31,90614BC-0x5A,25.37,40.95,46.85,,6751,220,21
15:52:32,90614BC-0x5A,25.41,40.95,45.73,,6752,221,18
15:52:33,90614BC-0x5A,25.43,40.99,45.01,,6752,216,20
15:52:34,90614BC-0x5A,25.43,40.87,44.71,,6753,215,21
15:52:35,90614BC-0x5A,25.41,40.97,42.97,,6752,213,17
15:52:36,90614BC-0x5A,25.39,40.79,43.83,,6751,215,18
15:52:37,90614BC-0x5A,25.41,40.71,41.93,,6752,212,15
15:52:38,90614BC-0x5A,25.43,40.87,44.67,,6754,217,20
15:52:39,90614BC-0x5A,25.41,40.91,45.91,,6751,216,22
15:52:40,90614BC-0x5A,25.41,40.89,46.89,,6752,217,22
15:52:41,90614BC-0x5A,25.43,40.87,45.13,,6752,217,20
15:52:42,90614BC-0x5A,25.43,40.97,45.45,,6752,219,20
15:52:43,90614BC-0x5A,25.43,41.07,43.41,,6753,216,18
15:52:44,90614BC-0x5A,25.45,40.87,43.23,,6753,213,18
15:52:45,90614BC-0x5A,25.39,40.81,41.65,,6753,211,15
15:52:46,90614BC-0x5A,25.43,40.97,40.39,,6752,212,15
15:52:47,90614BC-0x5A,25.43,40.93,41.65,,6752,212,17
15:52:48,90614BC-0x5A,25.43,40.85,41.75,,6753,212,16
15:52:49,90614BC-0x5A,25.43,40.87,40.31,,6752,211,15
15:52:50,90614BC-0x5A,25.41,40.87,39.65,,6751,211,14
15:52:51,90614BC-0x5A,25.43,41.01,39.13,,6752,211,14
15:52:52,90614BC-0x5A,25.41,40.93,39.67,,6752,210,15
15:52:53,90614BC-0x5A,25.41,40.89,40.51,,6753,210,16
15:52:54,90614BC-0x5A,25.45,41.05,39.79,,6753,212,15
15:52:55,90614BC-0x5A,25.45,40.99,40.07,,6753,211,15
15:52:56,90614BC-0x5A,25.33,40.97,43.29,,6748,216,19
15:52:57,90614BC-0x5A,25.43,40.75,45.55,,6753,215,20
15:52:58,90614BC-0x5A,25.47,40.79,47.15,,6754,216,21
15:52:59,90614BC-0x5A,25.43,40.79,47.25,,6752,216,21
15:53:00,90614BC-0x5A,25.43,40.97,45.81,,6752,217,22
15:53:01,90614BC-0x5A,25.43,40.87,42.85,,6752,213,16
15:53:02,90614BC-0x5A,25.47,40.91,42.51,,6753,212,18
15:53:04,90614BC-0x5A,25.45,40.99,43.23,,6753,215,18
15:53:04,90614BC-0x5A,25.47,40.87,44.77,,6753,216,19
15:53:06,90614BC-0x5A,25.43,40.85,42.85,,6753,212,18
15:53:07,90614BC-0x5A,25.43,40.87,42.31,,6752,212,17
15:53:07,90614BC-0x5A,25.39,40.85,43.17,,6750,214,17
15:53:09,90614BC-0x5A,25.45,40.85,43.87,,6753,211,18
15:53:10,90614BC-0x5A,25.47,40.97,41.91,,6754,213,16
15:53:11,90614BC-0x5A,25.45,40.99,41.25,,6754,215,15
15:53:12,90614BC-0x5A,25.49,40.81,40.81,,6754,212,14
15:53:13,90614BC-0x5A,25.47,40.83,41.47,,6754,210,18
15:53:14,90614BC-0x5A,25.45,40.99,37.77,,6753,210,11
15:53:15,90614BC-0x5A,25.49,40.79,39.53,,6754,209,13
15:53:16,90614BC-0x5A,25.47,40.87,39.77,,6753,211,13
15:53:17,90614BC-0x5A,25.47,40.93,39.11,,6754,209,13
15:53:18,90614BC-0x5A,25.47,40.93,39.69,,6753,212,14
15:53:19,90614BC-0x5A,25.49,40.97,37.53,,6755,208,11
15:53:20,90614BC-0x5A,25.49,40.99,36.39,,6754,209,10
15:53:21,90614BC-0x5A,25.49,41.01,35.41,,6755,209,10
15:53:22,90614BC-0x5A,25.47,40.93,35.87,,6754,208,10
15:53:23,90614BC-0x5A,25.47,40.85,35.65,,6753,207,12
15:53:24,90614BC-0x5A,25.45,40.89,36.03,,6753,206,10
15:53:25,90614BC-0x5A,25.49,40.89,38.21,,6754,207,13
