14:18:27,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AC52,'AC52,'AF6D,'B889,'E317,'0000,'5C32,'209F,'BE5A,'0733,'E4C8,'7DD4,'53E3,'8035,'8037,'1D07,'00C1,'34F7,'0011,'0000,'1D47,'8011,'1813,'F393,'8387,'E144
14:18:27,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:18:27,90614BC-0x5A,23.51,25.69,64.15,,6701,57,32
14:18:28,90614BC-0x5A,23.55,25.47,58.95,,6702,50,27
14:18:29,90614BC-0x5A,23.59,25.37,53.49,,6702,42,24
14:18:30,90614BC-0x5A,23.61,25.07,49.21,,6703,35,20
14:18:31,90614BC-0x5A,23.61,24.89,44.25,,6703,28,15
14:18:32,90614BC-0x5A,23.65,25.03,40.87,,6704,27,15
14:18:33,90614BC-0x5A,23.67,25.07,33.89,,6704,22,7
14:18:34,90614BC-0x5A,23.69,24.85,33.13,,6704,21,6
14:18:35,90614BC-0x5A,23.67,24.91,32.53,,6704,20,7
14:18:36,90614BC-0x5A,23.67,24.75,29.35,,6704,18,3
14:18:37,90614BC-0x5A,23.67,24.79,28.65,,6704,16,3
14:18:38,90614BC-0x5A,23.69,24.73,29.23,,6704,16,4
14:18:39,90614BC-0x5A,23.69,24.69,26.47,,6704,13,2
14:18:40,90614BC-0x5A,23.69,24.69,27.81,,6705,14,3
14:18:41,90614BC-0x5A,23.69,24.77,24.53,,6705,15,0
14:18:42,90614BC-0x5A,23.69,24.55,26.71,,6704,11,3
14:18:43,90614BC-0x5A,23.69,24.57,27.19,,6704,14,3
14:18:44,90614BC-0x5A,23.69,24.65,24.63,,6705,12,0
14:18:45,90614BC-0x5A,23.71,24.57,26.57,,6705,12,2
14:18:46,90614BC-0x5A,23.69,24.49,25.69,,6704,11,1
14:18:47,90614BC-0x5A,23.69,24.57,25.45,,6705,11,2
14:18:48,90614BC-0x5A,23.71,24.51,24.55,,6705,11,-1
14:18:49,90614BC-0x5A,23.69,24.57,24.99,,6704,12,0
14:18:50,90614BC-0x5A,23.71,24.65,24.87,,6705,12,0
14:18:51,90614BC-0x5A,23.71,24.65,24.47,,6705,10,0
14:18:52,90614BC-0x5A,23.69,24.61,25.09,,6704,11,0
14:18:53,90614BC-0x5A,23.71,24.59,24.41,,6705,13,0
14:18:54,90614BC-0x5A,23.69,24.67,25.13,,6704,13,0
14:18:55,90614BC-0x5A,23.69,24.63,22.07,,6705,12,3
14:18:56,90614BC-0x5A,23.69,24.55,25.21,,6705,10,2
14:18:57,90614BC-0x5A,23.69,24.65,26.11,,6704,14,4
14:18:58,90614BC-0x5A,23.69,24.49,24.25,,6705,9,0
14:18:59,90614BC-0x5A,23.71,24.71,25.17,,6705,14,1
14:19:00,90614BC-0x5A,23.71,24.57,23.85,,6706,11,0
14:19:01,90614BC-0x5A,23.71,24.53,25.53,,6705,12,1
14:19:02,90614BC-0x5A,23.71,24.61,24.03,,6705,11,0
14:19:03,90614BC-0x5A,23.69,24.55,24.77,,6705,10,1
14:19:04,90614BC-0x5A,23.71,24.71,22.97,,6705,12,-1
14:19:05,90614BC-0x5A,23.71,24.61,24.91,,6705,10,1
14:19:06,90614BC-0x5A,23.71,24.61,24.07,,6705,10,0
14:19:07,90614BC-0x5A,23.71,24.63,24.03,,6705,11,0
14:19:08,90614BC-0x5A,23.71,24.65,23.67,,6705,11,0
14:19:09,90614BC-0x5A,23.71,24.55,24.31,,6705,10,0
14:19:10,90614BC-0x5A,23.69,24.53,23.21,,6705,10,-1
14:19:11,90614BC-0x5A,23.71,24.73,23.49,,6705,12,0
14:19:12,90614BC-0x5A,23.73,24.67,23.99,,6706,10,2
14:19:13,90614BC-0x5A,23.69,24.55,23.09,,6705,9,-1
14:19:14,90614BC-0x5A,23.69,24.61,24.65,,6704,10,-1
14:19:15,90614BC-0x5A,23.71,24.53,24.47,,6705,10,0
14:19:16,90614BC-0x5A,23.71,24.71,23.17,,6705,13,0
14:19:17,90614BC-0x5A,23.69,24.59,24.31,,6704,10,1
14:19:18,90614BC-0x5A,23.71,24.49,25.91,,6705,12,1
14:19:19,90614BC-0x5A,23.71,24.63,24.55,,6705,12,1
14:19:20,90614BC-0x5A,23.69,24.61,25.25,,6704,12,1
14:19:21,90614BC-0x5A,23.71,24.61,25.77,,6705,11,3
14:19:22,90614BC-0x5A,23.71,24.77,22.99,,6705,11,0
14:19:23,90614BC-0x5A,23.71,24.65,24.03,,6705,12,0
14:19:24,90614BC-0x5A,23.71,24.53,24.05,,6705,11,0
14:19:25,90614BC-0x5A,23.71,24.59,22.81,,6705,10,-1
14:19:26,90614BC-0x5A,23.71,24.71,23.99,,6705,12,0
14:19:27,90614BC-0x5A,23.71,24.55,24.61,,6705,10,1
14:19:28,90614BC-0x5A,23.71,24.57,24.67,,6705,12,0
14:19:29,90614BC-0x5A,23.71,24.69,22.37,,6705,12,-2
14:19:30,90614BC-0x5A,23.71,24.57,24.27,,6706,10,0
14:19:31,90614BC-0x5A,23.71,24.57,23.33,,6705,10,0
14:19:32,90614BC-0x5A,23.71,24.69,24.11,,6705,11,1
14:19:33,90614BC-0x5A,23.71,24.55,24.35,,6705,9,0
14:19:34,90614BC-0x5A,23.71,24.53,24.51,,6705,11,0
14:19:35,90614BC-0x5A,23.73,24.47,24.93,,6705,10,1
